la zona	area (not "el área")
el cuerpo	body
el número	number
pedir	to ask for, to request
él	he
el principio	principle, beginning
público	public
cinco	five
antes	before (something)
nadie	nobody
poco	little, few
desarrollar	to develop
la madre	mother
mil	thousand
conseguir	to get, to obtain (c..)
el derecho	right (legal, not direction)
por	by, for
el estudio	study, studio
todavía	still (yet) (not "aún")
oír	to hear
sentar	to sit
recordar	to remember
sobre	on, about
la realidad	reality
la idea	idea
el desarrollo	development
la voz	voice
ah	ah
la población	population
lograr	to achieve (l...)
a través de	through, across
junto	together
caer	to fall
caerse	to fall down (reflexive)
establecer	to establish (e.., not "entablar")
terminar	to terminate
el movimiento	movement
la situación	situation
la universidad	university
la muerte	death
distinto	distinct, different  (not "diferente")
español	Spanish
el cambio	change
el nivel	level
diferente	different
la luz	light
entender	to understand (not comprender)
tal	such
largo	long
aún	still, yet (not "todavía")
alcanzar	to reach, catch up with, achieve
el campo	field (country, land)
la cabeza	head
la calle	street
antiguo	old, ancient, antique
el medio	half (Noun) (not "la mitad")
el hecho	fact; event
hecho	done
la mayoría	majority
el poder	power
el paso	step (w/foot)
el Dios	God
la puerta	door
la actividad	activity
la especie	species
el interés	interest
cambiar	to change, to shift
el programa	program
internacional	international
ocurrir	to happen (o...)
ocurrirse	to occur to (a thought or idea) (reflexive)
ciento	hundred
cientos de	hundreds of
la política	politics; policy
el río	river
estudiar	to study
el servicio	service
la región	region
México	Mexico
acabar	to end, to finish (a...)
incluso	even, including
el norte	north
la sociedad	society
dirigir	to direct (d...)
sacar una foto	to take a picture
sacar	to take out, to extract, to remove (s..)
varios	several
la razón	reason (not porqué)
ayer	yesterday
la clase	class
la década	decade
Europa	Europe
la república	republic
la gracia	grace
incluir	to include
el fondo	background, bottom, backyard
la acción	action
leer	to read
el sentido	sense (not "sentimiento" or "sensación")
destacar	to emphasize, to highlight (d...)
obtener	to obtain, to get (o...)
continuar	to continue (c...)
todo	all
primer	first (used before singular masculine nouns)
primero	first
el primero	(the) first
explicar	to explain
el período	period (not "tiempo" or "época")
la iglesia	church
el papel	paper, role
el sur	south
servir	to serve
el don	gift (talent)
don	Mister (the masculine equivalent of doña)
allá	there, over there
especial	special
el equipo	team, equipment
escuchar	to listen
la escuela	school
el hermano	brother
la hermana	sister
el mes	month
próximo	next, closest
el proyecto	project
el teatro	theater
el producto	product
la orden	order (a command)
el orden	order (as in we need a bit of order in here)
partir	to cut, leave, depart
la serie	series (TV, sports) (not  "el serial")
el serial	TV series (not "la serie")
mostrar	to show
el miembro	member (not "el socio")
el color	colour, color
representar	to represent
tocar	to touch, to play  an instrument
la cultura	culture
mundial	worldwide
el mar	sea
la paz	peace
la producción	production
el valor	value, courage
blanco	white
la información	information
no	no
la cara	face (not "rostro")
seis	six
ofrecer	to offer
la elección	election, choice
el mercado	market
ello	it
la base	base, foundation (not "la basa")
el aire	air
la condición	condition
reconocer	to recognize
real	real; royal
ocupar	to occupy
la autoridad	authority
el pesar	sorrow
la organización	organization
el elemento	element
Francia	France
la respuesta	answer, response, reply (r.., not "la réplica")
el amor	the love (noun)
tanto	so much
acercarse	to approach, to get closer (not "aproximarse" or "abordar")
acercar	to bring closer
difícil	difficult
la investigación	research, investigation
iniciar	to initiate, start
jugar	to play
correr	to run
eso	that (neutral)
el sector	sector
la edad	age
dedicar	to dedicate
levantar	to lift, pick up, to raise (l...)
bastante	enough, rather
la tarde	afternoon
medio	half (Adj.)
el pie	foot
necesario	necessary
la imagen	image
el aspecto	aspect; appearance, look
el dinero	money (d...)
señalar	to point out, indicate, mark (s...)
la cantidad	quantity, amount
pagar	to pay (for)
intentar	to try (not "tratar")
el director	director
ninguno	none
el autor	author
el rey	king
santo	holy
el santo	saint
aceptar	to accept
nacer	to be born
usar	to use
el modo	way (of doing something), manner, mode
el sol	sun
la posibilidad	possibility
el banco	bank
el dólar	dollar
diez	ten
anterior	previous, former (not previo)
tampoco	neither (not "ni")
el capital	capital (money)
el juego	game, play
libre	free (at liberty, available)
pronto	soon
el término	term, terminus
el estilo	style
el efecto	effect
constituir	to constitute, to set up
negro	black
el ministro	minister
comer	to eat
la carrera	career; race (speed); university degree/major
el español	Spanish
natural	natural
el resto	rest, remainder
el joven	young person
